,Survived,Fare,FamilySize,Imputed,Pclass_2,Pclass_3,Sex_male,Age_Child,Age_Elder,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other
156,1,7.7333,0,0,0,1,0,0,0,1,0,1,0,0,0
157,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
158,0,8.6625,0,1,0,1,1,0,0,0,1,0,1,0,0
159,0,69.55,10,1,0,1,1,0,0,0,1,0,0,0,0
160,0,16.1,1,0,0,1,1,0,0,0,1,0,1,0,0
161,1,15.75,0,0,1,0,0,0,0,0,1,0,0,1,0
162,0,7.775,0,0,0,1,1,0,0,0,1,0,1,0,0
163,0,8.6625,0,0,0,1,1,0,0,0,1,0,1,0,0
164,0,39.6875,5,0,0,1,1,1,0,0,1,0,0,0,0
165,1,20.525,2,0,0,1,1,1,0,0,1,0,0,0,0
166,1,55.0,1,1,0,0,0,0,0,0,1,0,0,1,0
167,0,27.9,5,0,0,1,0,0,0,0,1,0,0,1,0
168,0,25.925,0,1,0,0,1,0,0,0,1,0,1,0,0
169,0,56.4958,0,0,0,1,1,0,0,0,1,0,1,0,0
170,0,33.5,0,0,0,0,1,0,1,0,1,0,1,0,0
171,0,29.125,5,0,0,1,1,1,0,1,0,0,0,0,0
172,1,11.1333,2,0,0,1,0,1,0,0,1,1,0,0,0
173,0,7.925,0,0,0,1,1,0,0,0,1,0,1,0,0
174,0,30.6958,0,0,0,0,1,0,1,0,0,0,1,0,0
175,0,7.8542,2,0,0,1,1,0,0,0,1,0,1,0,0
176,0,25.4667,4,1,0,1,1,0,0,0,1,0,0,0,0
177,0,28.7125,0,0,0,0,0,0,0,0,0,1,0,0,0
178,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
179,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0
180,0,69.55,10,1,0,1,0,0,0,0,1,1,0,0,0
181,0,15.05,0,1,1,0,1,0,0,0,0,0,1,0,0
182,0,31.3875,6,0,0,1,1,1,0,0,1,0,0,0,0
183,1,39.0,3,0,1,0,1,1,0,0,1,0,0,0,0
184,1,22.025,2,0,0,1,0,1,0,0,1,1,0,0,0
185,0,50.0,0,1,0,0,1,0,0,0,1,0,1,0,0
186,1,15.5,1,1,0,1,0,0,0,1,0,0,0,1,0
187,1,26.55,0,0,0,0,1,0,0,0,1,0,1,0,0
188,0,15.5,2,0,0,1,1,0,0,1,0,0,1,0,0
189,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
190,1,13.0,0,0,1,0,0,0,0,0,1,0,0,1,0
191,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
192,1,7.8542,1,0,0,1,0,0,0,0,1,1,0,0,0
193,1,26.0,2,0,1,0,1,1,0,0,1,0,0,0,0
194,1,27.7208,0,0,0,0,0,0,0,0,0,0,0,1,0
195,1,146.5208,0,0,0,0,0,0,1,0,0,1,0,0,0
196,0,7.75,0,1,0,1,1,0,0,1,0,0,1,0,0
197,0,8.4042,1,0,0,1,1,0,0,0,1,0,1,0,0
198,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
199,0,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
200,0,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
201,0,69.55,10,1,0,1,1,0,0,0,1,0,1,0,0
202,0,6.4958,0,0,0,1,1,0,0,0,1,0,1,0,0
203,0,7.225,0,0,0,1,1,0,0,0,0,0,1,0,0
204,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
205,0,10.4625,1,0,0,1,0,1,0,0,1,1,0,0,0
206,0,15.85,1,0,0,1,1,0,0,0,1,0,1,0,0
207,1,18.7875,0,0,0,1,1,0,0,0,0,0,1,0,0
208,1,7.75,0,0,0,1,0,0,0,1,0,1,0,0,0
209,1,31.0,0,0,0,0,1,0,0,0,0,0,1,0,0
210,0,7.05,0,0,0,1,1,0,0,0,1,0,1,0,0
211,1,21.0,0,0,1,0,0,0,0,0,1,1,0,0,0
212,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
213,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
214,0,7.75,1,1,0,1,1,0,0,1,0,0,1,0,0
215,1,113.275,1,0,0,0,0,0,0,0,0,1,0,0,0
216,1,7.925,0,0,0,1,0,0,0,0,1,1,0,0,0
217,0,27.0,1,0,1,0,1,0,0,0,1,0,1,0,0
218,1,76.2917,0,0,0,0,0,0,0,0,0,1,0,0,0
219,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
220,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
221,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
222,0,8.05,0,0,0,1,1,0,1,0,1,0,1,0,0
223,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
224,1,90.0,1,0,0,0,1,0,0,0,1,0,1,0,0
225,0,9.35,0,0,0,1,1,0,0,0,1,0,1,0,0
226,1,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
227,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
228,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
229,0,25.4667,4,1,0,1,0,0,0,0,1,1,0,0,0
230,1,83.475,1,0,0,0,0,0,0,0,1,0,0,1,0
231,0,7.775,0,0,0,1,1,0,0,0,1,0,1,0,0
232,0,13.5,0,0,1,0,1,0,1,0,1,0,1,0,0
233,1,31.3875,6,0,0,1,0,1,0,0,1,1,0,0,0
234,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
235,0,7.55,0,1,0,1,0,0,0,0,1,1,0,0,0
236,0,26.0,1,0,1,0,1,0,0,0,1,0,1,0,0
237,1,26.25,2,0,1,0,0,1,0,0,1,1,0,0,0
238,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
239,0,12.275,0,0,1,0,1,0,0,0,1,0,1,0,0
240,0,14.4542,1,1,0,1,0,0,0,0,0,1,0,0,0
241,1,15.5,1,1,0,1,0,0,0,1,0,1,0,0,0
242,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
243,0,7.125,0,0,0,1,1,0,0,0,1,0,1,0,0
244,0,7.225,0,0,0,1,1,0,0,0,0,0,1,0,0
245,0,90.0,2,0,0,0,1,0,0,1,0,0,0,0,1
246,0,7.775,0,0,0,1,0,0,0,0,1,1,0,0,0
247,1,14.5,2,0,1,0,0,0,0,0,1,0,0,1,0
248,1,52.5542,2,0,0,0,1,0,0,0,1,0,1,0,0
249,0,26.0,1,0,1,0,1,0,1,0,1,0,0,0,1
250,0,7.25,0,1,0,1,1,0,0,0,1,0,1,0,0
251,0,10.4625,2,0,0,1,0,0,0,0,1,0,0,1,0
252,0,26.55,0,0,0,0,1,0,1,0,1,0,1,0,0
253,0,16.1,1,0,0,1,1,0,0,0,1,0,1,0,0
254,0,20.2125,2,0,0,1,0,0,0,0,1,0,0,1,0
255,1,15.2458,2,0,0,1,0,0,0,0,0,0,0,1,0
256,1,79.2,0,1,0,0,0,0,0,0,0,0,0,1,0
257,1,86.5,0,0,0,0,0,0,0,0,1,1,0,0,0
258,1,512.3292,0,0,0,0,0,0,0,0,0,1,0,0,0
259,1,26.0,1,0,1,0,0,0,0,0,1,0,0,1,0
260,0,7.75,0,1,0,1,1,0,0,1,0,0,1,0,0
261,1,31.3875,6,0,0,1,1,1,0,0,1,0,0,0,0
262,0,79.65,2,0,0,0,1,0,1,0,1,0,1,0,0
263,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0
264,0,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
265,0,10.5,0,0,1,0,1,0,0,0,1,0,1,0,0
266,0,39.6875,5,0,0,1,1,0,0,0,1,0,1,0,0
267,1,7.775,1,0,0,1,1,0,0,0,1,0,1,0,0
268,1,153.4625,1,0,0,0,0,0,1,0,1,0,0,1,0
269,1,135.6333,0,0,0,0,0,0,0,0,1,1,0,0,0
270,0,31.0,0,1,0,0,1,0,0,0,1,0,1,0,0
271,1,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0
272,1,19.5,1,0,1,0,0,0,0,0,1,0,0,1,0
273,0,29.7,1,0,0,0,1,0,0,0,0,0,1,0,0
274,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
275,1,77.9583,1,0,0,0,0,0,1,0,1,1,0,0,0
276,0,7.75,0,0,0,1,0,0,0,0,1,1,0,0,0
277,0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
278,0,29.125,5,0,0,1,1,1,0,1,0,0,0,0,0
279,1,20.25,2,0,0,1,0,0,0,0,1,0,0,1,0
280,0,7.75,0,0,0,1,1,0,1,1,0,0,1,0,0
281,0,7.8542,0,0,0,1,1,0,0,0,1,0,1,0,0
282,0,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
283,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
284,0,26.0,0,1,0,0,1,0,0,0,1,0,1,0,0
285,0,8.6625,0,0,0,1,1,0,0,0,0,0,1,0,0
286,1,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
287,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
288,1,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
289,1,7.75,0,0,0,1,0,0,0,1,0,1,0,0,0
290,1,78.85,0,0,0,0,0,0,0,0,1,1,0,0,0
291,1,91.0792,1,0,0,0,0,0,0,0,0,0,0,1,0
292,0,12.875,0,0,1,0,1,0,0,0,0,0,1,0,0
293,0,8.85,0,0,0,1,0,0,0,0,1,1,0,0,0
294,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
295,0,27.7208,0,1,0,0,1,0,0,0,0,0,1,0,0
296,0,7.2292,0,0,0,1,1,0,0,0,0,0,1,0,0
297,0,151.55,3,0,0,0,0,1,0,0,1,1,0,0,0
298,1,30.5,0,1,0,0,1,0,0,0,1,0,1,0,0
299,1,247.5208,1,0,0,0,0,0,0,0,0,0,0,1,0
300,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
301,1,23.25,2,1,0,1,1,0,0,1,0,0,1,0,0
302,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0
303,1,12.35,0,1,1,0,0,0,0,1,0,1,0,0,0
304,0,8.05,0,1,0,1,1,0,0,0,1,0,1,0,0
305,1,151.55,3,0,0,0,1,1,0,0,1,0,0,0,0
306,1,110.8833,0,1,0,0,0,0,0,0,0,1,0,0,0
307,1,108.9,1,0,0,0,0,0,0,0,0,0,0,1,0
308,0,24.0,1,0,1,0,1,0,0,0,0,0,1,0,0
309,1,56.9292,0,0,0,0,0,0,0,0,0,1,0,0,0
310,1,83.1583,0,0,0,0,0,0,0,0,0,1,0,0,0
311,1,262.375,4,0,0,0,0,0,0,0,0,1,0,0,0
312,0,26.0,2,0,1,0,0,0,0,0,1,0,0,1,0
313,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
314,0,26.25,2,0,1,0,1,0,0,0,1,0,1,0,0
315,1,7.8542,0,0,0,1,0,0,0,0,1,1,0,0,0
316,1,26.0,1,0,1,0,0,0,0,0,1,0,0,1,0
317,0,14.0,0,0,1,0,1,0,1,0,1,0,0,0,1
318,1,164.8667,2,0,0,0,0,0,0,0,1,1,0,0,0
319,1,134.5,2,0,0,0,0,0,0,0,0,0,0,1,0
320,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
321,0,7.8958,0,0,0,1,1,0,0,0,1,0,1,0,0
322,1,12.35,0,0,1,0,0,0,0,1,0,1,0,0,0
323,1,29.0,2,0,1,0,0,0,0,0,1,0,0,1,0
324,0,69.55,10,1,0,1,1,0,0,0,1,0,1,0,0
325,1,135.6333,0,0,0,0,0,0,0,0,0,1,0,0,0
326,0,6.2375,0,0,0,1,1,0,1,0,1,0,1,0,0
327,1,13.0,0,0,1,0,0,0,0,0,1,0,0,1,0
328,1,20.525,2,0,0,1,0,0,0,0,1,0,0,1,0
329,1,57.9792,1,0,0,0,0,0,0,0,0,1,0,0,0
330,1,23.25,2,1,0,1,0,0,0,1,0,1,0,0,0
331,0,28.5,0,0,0,0,1,0,0,0,1,0,1,0,0
332,0,153.4625,1,0,0,0,1,0,0,0,1,0,1,0,0
333,0,18.0,2,0,0,1,1,0,0,0,1,0,1,0,0
334,1,133.65,1,1,0,0,0,0,0,0,1,0,0,1,0
335,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
336,0,66.6,1,0,0,0,1,0,0,0,1,0,1,0,0
337,1,134.5,0,0,0,0,0,0,0,0,0,1,0,0,0
338,1,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
339,0,35.5,0,0,0,0,1,0,0,0,1,0,1,0,0
340,1,26.0,2,0,1,0,1,1,0,0,1,0,0,0,0
341,1,263.0,5,0,0,0,0,0,0,0,1,1,0,0,0
342,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
343,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
344,0,13.0,0,0,1,0,1,0,0,0,1,0,1,0,0
345,1,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
346,1,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
347,1,16.1,1,1,0,1,0,0,0,0,1,0,0,1,0
348,1,15.9,2,0,0,1,1,1,0,0,1,0,0,0,0
349,0,8.6625,0,0,0,1,1,0,0,0,1,0,1,0,0
350,0,9.225,0,0,0,1,1,0,0,0,1,0,1,0,0
351,0,35.0,0,1,0,0,1,0,0,0,1,0,1,0,0
352,0,7.2292,2,0,0,1,1,0,0,0,0,0,1,0,0
353,0,17.8,1,0,0,1,1,0,0,0,1,0,1,0,0
354,0,7.225,0,1,0,1,1,0,0,0,0,0,1,0,0
355,0,9.5,0,0,0,1,1,0,0,0,1,0,1,0,0
356,1,55.0,1,0,0,0,0,0,0,0,1,1,0,0,0
357,0,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
358,1,7.8792,0,1,0,1,0,0,0,1,0,1,0,0,0
359,1,7.8792,0,1,0,1,0,0,0,1,0,1,0,0,0
360,0,27.9,5,0,0,1,1,0,0,0,1,0,1,0,0
361,0,27.7208,1,0,1,0,1,0,0,0,0,0,1,0,0
362,0,14.4542,1,0,0,1,0,0,0,0,0,0,0,1,0
363,0,7.05,0,0,0,1,1,0,0,0,1,0,1,0,0
364,0,15.5,1,1,0,1,1,0,0,1,0,0,1,0,0
365,0,7.25,0,0,0,1,1,0,0,0,1,0,1,0,0
366,1,75.25,1,0,0,0,0,0,1,0,0,0,0,1,0
367,1,7.2292,0,1,0,1,0,0,0,0,0,0,0,1,0
368,1,7.75,0,1,0,1,0,0,0,1,0,1,0,0,0
369,1,69.3,0,0,0,0,0,0,0,0,0,0,0,1,0
370,1,55.4417,1,0,0,0,1,0,0,0,0,0,1,0,0
371,0,6.4958,1,0,0,1,1,0,0,0,1,0,1,0,0
372,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
373,0,135.6333,0,0,0,0,1,0,0,0,0,0,1,0,0
374,0,21.075,4,0,0,1,0,1,0,0,1,1,0,0,0
375,1,82.1708,1,1,0,0,0,0,0,0,0,0,0,1,0
376,1,7.25,0,0,0,1,0,0,0,0,1,1,0,0,0
377,0,211.5,2,0,0,0,1,0,0,0,0,0,1,0,0
378,0,4.0125,0,0,0,1,1,0,0,0,0,0,1,0,0
379,0,7.775,0,0,0,1,1,0,0,0,1,0,1,0,0
380,1,227.525,0,0,0,0,0,0,0,0,0,1,0,0,0
381,1,15.7417,2,0,0,1,0,1,0,0,0,1,0,0,0
382,0,7.925,0,0,0,1,1,0,0,0,1,0,1,0,0
383,1,52.0,1,0,0,0,0,0,0,0,1,0,0,1,0
384,0,7.8958,0,1,0,1,1,0,0,0,1,0,1,0,0
385,0,73.5,0,0,1,0,1,0,0,0,1,0,1,0,0
386,0,46.9,7,0,0,1,1,1,0,0,1,0,0,0,0
387,1,13.0,0,0,1,0,0,0,0,0,1,1,0,0,0
388,0,7.7292,0,1,0,1,1,0,0,1,0,0,1,0,0
389,1,12.0,0,0,1,0,0,0,0,0,0,1,0,0,0
390,1,120.0,3,0,0,0,1,0,0,0,1,0,1,0,0
391,1,7.7958,0,0,0,1,1,0,0,0,1,0,1,0,0
392,0,7.925,2,0,0,1,1,0,0,0,1,0,1,0,0
393,1,113.275,1,0,0,0,0,0,0,0,0,1,0,0,0
394,1,16.7,2,0,0,1,0,0,0,0,1,0,0,1,0
395,0,7.7958,0,0,0,1,1,0,0,0,1,0,1,0,0
396,0,7.8542,0,0,0,1,0,0,0,0,1,1,0,0,0
397,0,26.0,0,0,1,0,1,0,0,0,1,0,1,0,0
398,0,10.5,0,0,1,0,1,0,0,0,1,0,0,0,1
399,1,12.65,0,0,1,0,0,0,0,0,1,0,0,1,0
400,1,7.925,0,0,0,1,1,0,0,0,1,0,1,0,0
401,0,8.05,0,0,0,1,1,0,0,0,1,0,1,0,0
